x-axis,1,2,F1
second,Volt,Volt,Volt
-8.35000E-03,-2.19812069E+00,+2.13736443E+00,-4.31819677E+00
-8.34000E-03,-2.19686441E+00,+2.11726393E+00,-4.29768896E+00
-8.33000E-03,-2.19686441E+00,+2.11726393E+00,-4.29768896E+00
-8.32000E-03,-2.17676391E+00,+2.11852021E+00,-4.27815771E+00
-8.31000E-03,-2.19686441E+00,+2.10846996E+00,-4.28792334E+00
-8.30000E-03,-2.17676391E+00,+2.11852021E+00,-4.27718115E+00
-8.29000E-03,-2.17676391E+00,+2.09716343E+00,-4.25764990E+00
-8.28000E-03,-2.15666340E+00,+2.09716343E+00,-4.23714209E+00
-8.27000E-03,-2.18681416E+00,+2.10846996E+00,-4.27718115E+00
-8.26000E-03,-2.15791969E+00,+2.09716343E+00,-4.23811865E+00
-8.25000E-03,-2.16671366E+00,+2.08836946E+00,-4.23811865E+00
-8.24000E-03,-2.15666340E+00,+2.09716343E+00,-4.23714209E+00
-8.23000E-03,-2.16671366E+00,+2.07706292E+00,-4.22737646E+00
-8.22000E-03,-2.13656290E+00,+2.07831920E+00,-4.19807959E+00
-8.21000E-03,-2.13656290E+00,+2.08711317E+00,-4.20784521E+00
-8.20000E-03,-2.13656290E+00,+2.09716343E+00,-4.21761084E+00
-8.19000E-03,-2.14661315E+00,+2.06826895E+00,-4.19710302E+00
-8.18000E-03,-2.13656290E+00,+2.07706292E+00,-4.19710302E+00
-8.17000E-03,-2.13656290E+00,+2.07706292E+00,-4.19710302E+00
-8.16000E-03,-2.11771868E+00,+2.05696242E+00,-4.15804052E+00
-8.15000E-03,-2.14786944E+00,+2.04691217E+00,-4.17757177E+00
-8.14000E-03,-2.11646240E+00,+2.05696242E+00,-4.15706396E+00
-8.13000E-03,-2.13656290E+00,+2.05696242E+00,-4.17757177E+00
-8.12000E-03,-2.11771868E+00,+2.05696242E+00,-4.15706396E+00
-8.11000E-03,-2.10641215E+00,+2.03686192E+00,-4.12776709E+00
-8.10000E-03,-2.13656290E+00,+2.03686192E+00,-4.15706396E+00
-8.09000E-03,-2.11646240E+00,+2.04816845E+00,-4.14729834E+00
-8.08000E-03,-2.09761818E+00,+2.05696242E+00,-4.13753271E+00
